Hotel;Hotel_Description;Month;Days_in_Month;Category;Conf_of_Occ%_per_Category;Hotel_Invetory;Fixed_Occ%
3.1;Wellness Park Hotel I;September;30;Standard;1.15;25;0.373260073260073
3.1;Wellness Park Hotel I;September;30;Standard with canal view;1.02;48;0.373260073260073
3.1;Wellness Park Hotel I;September;30;Room with kitchenette;0.85;3;0.373260073260073
3.1;Wellness Park Hotel I;September;30;Suite;0.8;4;0.373260073260073
3.1;Wellness Park Hotel I;September;30;Suite with canal view;0.75;7;0.373260073260073
3.1;Wellness Park Hotel I;September;30;Executive Suite;0.6;2;0.373260073260073
3.1;Wellness Park Hotel I;September;30;Marakanda Suite;0.59;1;0.373260073260073
3.1;Wellness Park Hotel I;September;30;Presidential Suite;0.5;1;0.373260073260073
3.1;Wellness Park Hotel I;October;31;Standard;1.15;25;0.327543424317618
3.1;Wellness Park Hotel I;October;31;Standard with canal view;1.02;48;0.327543424317618
3.1;Wellness Park Hotel I;October;31;Room with kitchenette;0.85;3;0.327543424317618
3.1;Wellness Park Hotel I;October;31;Suite;0.8;4;0.327543424317618
3.1;Wellness Park Hotel I;October;31;Suite with canal view;0.75;7;0.327543424317618
3.1;Wellness Park Hotel I;October;31;Executive Suite;0.6;2;0.327543424317618
3.1;Wellness Park Hotel I;October;31;Marakanda Suite;0.59;1;0.327543424317618
3.1;Wellness Park Hotel I;October;31;Presidential Suite;0.5;1;0.327543424317618
3.1;Wellness Park Hotel I;November;30;Standard;1.15;25;0.313919413919414
3.1;Wellness Park Hotel I;November;30;Standard with canal view;1.02;48;0.313919413919414
3.1;Wellness Park Hotel I;November;30;Room with kitchenette;0.85;3;0.313919413919414
3.1;Wellness Park Hotel I;November;30;Suite;0.8;4;0.313919413919414
3.1;Wellness Park Hotel I;November;30;Suite with canal view;0.75;7;0.313919413919414
3.1;Wellness Park Hotel I;November;30;Executive Suite;0.6;2;0.313919413919414
3.1;Wellness Park Hotel I;November;30;Marakanda Suite;0.59;1;0.313919413919414
3.1;Wellness Park Hotel I;November;30;Presidential Suite;0.5;1;0.313919413919414
3.1;Wellness Park Hotel I;December;31;Standard;1.15;25;0.270116979794399
3.1;Wellness Park Hotel I;December;31;Standard with canal view;1.02;48;0.270116979794399
3.1;Wellness Park Hotel I;December;31;Room with kitchenette;0.85;3;0.270116979794399
3.1;Wellness Park Hotel I;December;31;Suite;0.8;4;0.270116979794399
3.1;Wellness Park Hotel I;December;31;Suite with canal view;0.75;7;0.270116979794399
3.1;Wellness Park Hotel I;December;31;Executive Suite;0.6;2;0.270116979794399
3.1;Wellness Park Hotel I;December;31;Marakanda Suite;0.59;1;0.270116979794399
3.1;Wellness Park Hotel I;December;31;Presidential Suite;0.5;1;0.270116979794399
3.2;Wellness Park Hotel II;September;30;Standard;1.17;14;0.34822695035461
3.2;Wellness Park Hotel II;September;30;Standard with canal view;1.06;56;0.34822695035461
3.2;Wellness Park Hotel II;September;30;Room with kitchenette;0.9;4;0.34822695035461
3.2;Wellness Park Hotel II;September;30;Suite;0.8;6;0.34822695035461
3.2;Wellness Park Hotel II;September;30;Suite with canal view;0.75;10;0.34822695035461
3.2;Wellness Park Hotel II;September;30;Family Suite;0.7;1;0.34822695035461
3.2;Wellness Park Hotel II;September;30;Executive Suite;0.59;2;0.34822695035461
3.2;Wellness Park Hotel II;September;30;Presidential Suite;0.5;1;0.34822695035461
3.2;Wellness Park Hotel II;October;31;Standard;1.17;14;0.321551132463967
3.2;Wellness Park Hotel II;October;31;Standard with canal view;1.06;56;0.321551132463967
3.2;Wellness Park Hotel II;October;31;Room with kitchenette;0.9;4;0.321551132463967
3.2;Wellness Park Hotel II;October;31;Suite;0.8;6;0.321551132463967
3.2;Wellness Park Hotel II;October;31;Suite with canal view;0.75;10;0.321551132463967
3.2;Wellness Park Hotel II;October;31;Family Suite;0.7;1;0.321551132463967
3.2;Wellness Park Hotel II;October;31;Executive Suite;0.59;2;0.321551132463967
3.2;Wellness Park Hotel II;October;31;Presidential Suite;0.5;1;0.321551132463967
3.2;Wellness Park Hotel II;November;30;Standard;1.17;14;0.30886524822695
3.2;Wellness Park Hotel II;November;30;Standard with canal view;1.06;56;0.30886524822695
3.2;Wellness Park Hotel II;November;30;Room with kitchenette;0.9;4;0.30886524822695
